선명,입항횟수,입항횟수.1,외내,입출,총톤수,입항일시,출항일시,계선장소,차항지,전출항지,선박용도,number,예선,도선
FORTUNE SWAN,2021,2,외항,출항,"7,699",2021-04-01 07:10,2021-04-04 15:00,3부두 01,대산,대산,케미칼 운반선,22,N,N
JOY CHEMIST,2021,7,외항,입항,"5,376",2021-04-01 08:00,2021-04-03 21:25,1부두 01,TAICANG,TAICANG,케미칼 운반선,22,N,N
JOY CHEMIST,2021,7,외항,출항,"5,376",2021-04-01 08:00,2021-04-03 21:25,가스부두,ZHENJIANG PT,TAICANG,케미칼 운반선,22,Y,Y
KEOYOUNG PIONEER,2021,3,외항,출항,"2,210",2021-04-01 08:10,2021-04-01 20:30,3부두 02,ZHANGJIAGANG,여수,석유제품 운반선,11,N,N
KEOYOUNG PIONEER,2021,3,외항,입항,"2,210",2021-04-01 08:10,2021-04-01 20:30,3부두 02,ZHANGJIAGANG,여수,석유제품 운반선,11,N,N
JEIL CRYSTAL,2021,1,외항,입항,"6,301",2021-04-01 09:20,2021-04-02 10:40,4부두 01,OCEAN DISTRICT,LIANYUNGANG,케미칼 운반선,22,N,N
JEIL CRYSTAL,2021,1,외항,출항,"6,301",2021-04-01 09:20,2021-04-02 10:40,2부두 01,MOJI/KITAKYUSHU,LIANYUNGANG,케미칼 운반선,22,N,N
POHANG PIONEER,2021,2,외항,출항,"5,422",2021-04-01 09:25,2021-04-02 21:08,가스부두,TIANJIN,여수,석유제품 운반선,11,Y,N
삼원썬,2021,25,내항,출항,999,2021-04-01 10:10,2021-04-02 06:05,SK1부두 12,여천항,포항신항,석유제품 운반선,11,Y,Y
KELSEY 2,2021,4,외항,입항,"5,328",2021-04-01 10:10,2021-04-03 17:35,6부두 04,대산,대산,케미칼 운반선,22,N,N
BOHEME,2021,1,외항,입항,"67,264",2021-04-01 10:18,2021-04-03 21:25,자동차부두 02,군산,"BRUNSWICK, GA",자동차운반선,20,N,N
BOHEME,2021,1,외항,출항,"67,264",2021-04-01 10:18,2021-04-03 21:25,6부두 02,군산,"BRUNSWICK, GA",자동차운반선,20,N,N
7보광호,2021,10,내항,출항,323,2021-04-01 10:40,2021-04-01 16:35,SK2부두 01,여수,부산,석유제품 운반선,11,N,N
SPRING NOTE,2021,8,외항,입항,"2,579",2021-04-01 15:00,2021-04-03 03:40,일반부두 07,NANSHA PT,울산,케미칼 운반선,22,Y,Y
SPRING NOTE,2021,8,외항,출항,"2,579",2021-04-01 15:00,2021-04-03 03:40,가스부두,NANSHA PT,울산,케미칼 운반선,22,N,N
정은,2021,21,내항,출항,507,2021-04-01 17:00,2021-04-02 01:50,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
우성,2021,34,내항,출항,"1,998",2021-04-01 20:30,2021-04-02 13:35,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
유성,2021,39,내항,출항,"1,998",2021-04-02 00:25,2021-04-02 15:20,SK2부두 01,동해,마산,석유제품 운반선,11,Y,Y
CRANE ARIEL,2021,5,외항,입항,"4,862",2021-04-02 07:45,2021-04-02 19:15,SK4부두,KAOHSIUNG,KAOHSIUNG,케미칼 운반선,22,N,N
CRANE ARIEL,2021,5,외항,출항,"4,862",2021-04-02 07:45,2021-04-02 19:15,SK4부두,CAOJING,KAOHSIUNG,케미칼 운반선,22,Y,N
YOUNGSAN GAS,2021,13,외항,출항,999,2021-04-02 10:30,2021-04-03 10:45,7부두 01,울산,OITA,케미칼가스 운반선,23,Y,Y
동영호,2021,19,내항,출항,179,2021-04-02 12:00,2021-04-03 02:55,6부두 04,부산,부산,석유제품 운반선,11,Y,Y
NO.2 ASIAN PIONEER,2021,2,외항,입항,"8,294",2021-04-02 12:25,2021-04-04 07:55,2부두 03,HO CHI MINH CITY,부산,케미칼 운반선,22,N,N
STO VIOLET,2021,8,외항,입항,497,2021-04-02 13:50,2021-04-03 15:15,일반부두 06,SAKAIDE,부산,케미칼 운반선,22,N,N
STO VIOLET,2021,8,외항,출항,497,2021-04-02 13:50,2021-04-03 15:15,일반부두 06,SAKAIDE,부산,케미칼 운반선,22,Y,Y
96신현호,2021,20,내항,출항,149,2021-04-02 14:10,2021-04-02 21:35,8부두 01,기타항,묵호,석유제품 운반선,11,Y,Y
PRINCESS TOPAZ,2021,3,외항,입항,"4,833",2021-04-02 15:20,2021-04-04 09:45,6부두 03,KUANTAN (TANJONG GELANG),KUANTAN (TANJONG GELANG),석유제품 운반선,11,Y,Y
3동명호,2021,17,내항,출항,454,2021-04-02 15:25,2021-04-03 16:25,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
진성호,2021,33,내항,출항,777,2021-04-02 17:25,2021-04-04 02:10,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
삼진3호,2021,18,내항,출항,499,2021-04-02 18:15,2021-04-03 01:20,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
보광토파즈,2021,22,내항,입항,"1,534",2021-04-02 18:40,2021-04-07 13:25,일반부두 07,여수,평택.당진,석유제품 운반선,11,N,N
