선명,입항횟수,입항횟수.1,외내,입출,총톤수,입항일시,출항일시,계선장소,차항지,전출항지,선박용도,number,예선,도선
12삼부호,2022,40,내항,출항,299,2022-04-30 17:20,2022-05-01 06:35,SK2부두 01,포항신항,포항신항,석유제품 운반선,11,Y,N
MORNING CAPO,2022,2,외항,입항,"59,615",2022-04-30 17:30,2022-05-03 11:40,자동차부두 03,평택.당진,마산,자동차운반선,20,Y,N
MORNING CAPO,2022,2,외항,출항,"59,615",2022-04-30 17:30,2022-05-03 11:40,6부두 02,평택.당진,마산,자동차운반선,20,N,N
MORNING CRYSTAL,2022,1,외항,입항,"59,524",2022-04-30 18:25,2022-05-02 12:30,6부두 02,OSAKA,MELBOURNE,자동차운반선,20,N,N
MORNING CRYSTAL,2022,1,외항,출항,"59,524",2022-04-30 18:25,2022-05-02 12:30,염포부두 01,OSAKA,MELBOURNE,자동차운반선,20,N,N
KEOYOUNG DREAM 1,2022,5,외항,입항,"2,823",2022-04-30 19:10,2022-05-01 14:25,일반부두 07,CAOJING,평택.당진,석유제품 운반선,11,N,N
에이치와이 부산,2022,37,내항,출항,499,2022-04-30 19:40,2022-05-01 07:00,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
K. K. NO.5,2022,2,외항,출항,"17,413",2022-04-30 19:40,2022-05-01 10:30,2부두 02,JASAAN/CAGAYAN DE ORO,여수,석유제품 운반선,11,N,N
K. K. NO.5,2022,2,외항,입항,"17,413",2022-04-30 19:40,2022-05-01 10:30,2부두 02,JASAAN/CAGAYAN DE ORO,여수,석유제품 운반선,11,N,N
HAMBURG TEAM,2022,1,외항,출항,"25,189",2022-04-30 20:35,2022-04-30 23:00,6부두 05,TOYAMA,SHIKAMA,산물선(벌크선),10,N,N
HAMBURG TEAM,2022,1,외항,입항,"25,189",2022-04-30 20:35,2022-04-30 23:00,6부두 05,TOYAMA,SHIKAMA,산물선(벌크선),10,Y,N
HANYU DREAM,2022,19,내항,출항,"2,114",2022-04-30 21:10,2022-05-01 22:15,SK2부두 01,동해,부산,석유제품 운반선,11,Y,N
SUN SIRIUS,2022,3,외항,출항,"5,758",2022-04-30 21:20,2022-05-03 04:25,SK5부두,부산,TOKUYAMA,케미칼 운반선,22,N,N
동명호,2022,39,내항,출항,997,2022-05-01 02:45,2022-05-05 05:00,SK1부두 11,광양,여수,석유제품 운반선,11,N,N
재원 니케,2022,17,내항,입항,"2,701",2022-05-01 03:40,2022-05-02 22:25,9부두 01,속초,속초,일반화물선,19,Y,N
재원 니케,2022,17,내항,출항,"2,701",2022-05-01 03:40,2022-05-02 22:25,9부두 01,속초,속초,일반화물선,19,Y,N
12청경호,2022,20,내항,출항,320,2022-05-01 05:40,2022-05-02 06:20,SK2부두 02,부산,부산,석유제품 운반선,11,Y,Y
영진호,2022,26,내항,출항,349,2022-05-01 07:40,2022-05-01 12:50,SK2부두 02,부산,부산,석유제품 운반선,11,Y,Y
PIS POLARIS,2022,3,외항,입항,"28,051",2022-05-01 07:40,2022-05-08 09:55,염포부두 02,SINGAPORE,기타항,석유제품 운반선,11,N,N
MAREX SARA,2022,5,외항,출항,"9,800",2022-05-01 07:55,2022-05-04 00:50,SK3부두,부산,JIANGYIN PT,석유제품 운반선,11,N,N
7보광호,2022,15,내항,출항,323,2022-05-01 08:30,2022-05-02 00:50,SK2부두 02,여수,부산,석유제품 운반선,11,Y,Y
삼성호,2022,13,내항,출항,223,2022-05-01 09:15,2022-05-01 18:45,SK2부두 01,부산,부산,급유선,5,Y,Y
HUA HONG,2022,6,외항,출항,"3,686",2022-05-01 09:18,2022-05-02 05:45,SK2부두 01,LIANYUNGANG,WEIHAI,석유제품 운반선,11,Y,Y
MIRACLE HOPE,2022,2,외항,출항,"159,962",2022-05-01 10:00,2022-05-03 08:00,SK부이 02,여수,MINA AL AHMADI,원유운반선,18,Y,Y
MIRACLE HOPE,2022,2,외항,입항,"159,962",2022-05-01 10:00,2022-05-03 08:00,SK부이 02,SINGAPORE,MINA AL AHMADI,원유운반선,18,Y,Y
C.GALAXY,2022,2,내항,출항,"162,180",2022-05-01 10:24,2022-05-01 22:10,SK부이 03,인천,여수,원유운반선,18,Y,Y
C.GALAXY,2022,2,내항,입항,"162,180",2022-05-01 10:24,2022-05-01 22:10,SK부이 03,인천,여수,원유운반선,18,Y,Y
ZENITH ELITE,2022,4,내항,입항,"2,223",2022-05-01 12:15,2022-05-02 18:00,1부두 01,포항,당진,일반화물선,19,Y,Y
ZENITH ELITE,2022,4,내항,출항,"2,223",2022-05-01 12:15,2022-05-02 18:00,1부두 01,포항,당진,일반화물선,19,N,N
3동명호,2022,25,내항,출항,454,2022-05-01 12:30,2022-05-02 08:35,SK2부두 01,여수,부산,석유제품 운반선,11,N,N
삼원,2022,34,내항,출항,699,2022-05-01 14:00,2022-05-03 21:25,SK2부두 01,기타항,기타항,석유제품 운반선,11,Y,Y
삼진2호,2022,38,내항,출항,801,2022-05-01 14:05,2022-05-02 18:20,SK2부두 02,포항신항,부산,기타 유조선,7,Y,Y
17쌍용호,2022,11,내항,출항,498,2022-05-01 16:20,2022-05-02 17:00,2부두 01,기타항,부산,일반화물선,19,Y,Y
17쌍용호,2022,11,내항,입항,498,2022-05-01 16:20,2022-05-02 17:00,2부두 01,기타항,부산,일반화물선,19,Y,Y
KEOYOUNG BLUE 1,2022,14,외항,입항,"1,423",2022-05-01 16:20,2022-05-02 07:00,4부두 01,MIZUSHIMA,WAKAYAMA,석유제품 운반선,11,Y,Y
태진,2022,25,내항,출항,743,2022-05-01 18:00,2022-05-02 04:35,SK1부두 11,부산,부산,석유제품 운반선,11,Y,Y
SAMSUNG NO.5,2022,5,내항,출항,"3,030",2022-05-01 19:40,2022-05-03 15:55,염포부두 01,당진,당진,일반화물선,19,Y,Y
DOLPHIN WIND,2022,15,내항,입항,293,2022-05-01 20:30,2022-05-03 02:00,일반부두 03,기타항,울산,기타 예선,6,Y,Y
DOLPHIN WIND,2022,15,내항,출항,293,2022-05-01 20:30,2022-05-03 02:00,일반부두 03,기타항,울산,기타 예선,6,N,N
오성호,2022,21,내항,입항,999,2022-05-01 22:00,2022-05-02 03:20,SK5부두,부산,부산,석유제품 운반선,11,N,N
오성호,2022,21,내항,출항,999,2022-05-01 22:00,2022-05-02 03:20,SK5부두,부산,부산,석유제품 운반선,11,Y,N
송양1호,2022,63,내항,출항,"1,200",2022-05-01 23:30,2022-05-02 12:40,SK2부두 01,부산,부산,석유제품 운반선,11,Y,N
OTTO H,2022,1,외항,출항,"17,858",2022-05-01 23:48,2022-05-04 07:15,4부두 02,OCEAN DISTRICT,LONGBEACH,석유제품 운반선,11,Y,N
CRANE ARIEL,2022,15,외항,출항,"4,862",2022-05-02 00:05,2022-05-03 10:30,SK4부두,MIZUSHIMA,MIZUSHIMA,케미칼 운반선,22,Y,N
GIANT SAMBU,2022,8,외항,입항,"5,598",2022-05-02 00:30,2022-05-02 16:40,UTT부두,ETAJIMA,여천항,케미칼 운반선,22,Y,N
GIANT SAMBU,2022,8,외항,출항,"5,598",2022-05-02 00:30,2022-05-02 16:40,UTT부두,기타항,여천항,케미칼 운반선,22,Y,N
ANGEL BLUE,2022,24,외항,출항,"1,637",2022-05-02 02:35,2022-05-10 15:25,SK1부두 11,TOMAKOMAI,HAKATA/FUKUOKA,석유제품 운반선,11,Y,Y
KTS GOLD,2022,10,내항,출항,"2,163",2022-05-02 05:10,2022-05-02 19:20,4부두 01,여수,여수,케미칼 운반선,22,Y,Y
KTS GOLD,2022,10,내항,입항,"2,163",2022-05-02 05:10,2022-05-02 19:20,4부두 01,여수,여수,케미칼 운반선,22,Y,Y
103동성호,2022,36,내항,출항,498,2022-05-02 07:30,2022-05-02 22:40,SK2부두 01,부산,부산,석유제품 운반선,11,Y,N
UNION GAS,2022,26,내항,출항,999,2022-05-02 08:10,2022-05-02 13:15,가스부두,제주,제주,LPG 운반선,2,Y,Y
UNION GAS,2022,26,내항,입항,999,2022-05-02 08:10,2022-05-02 13:15,가스부두,제주,제주,LPG 운반선,2,Y,Y
NAVIGATOR GLORY,2022,2,외항,출항,"16,823",2022-05-02 08:42,2022-05-03 03:20,2부두 02,여수,ZHANJIANG,LPG 운반선,2,Y,N
NAVIGATOR GLORY,2022,2,외항,입항,"16,823",2022-05-02 08:42,2022-05-03 03:20,2부두 02,SINGAPORE,ZHANJIANG,LPG 운반선,2,Y,N
GRACE SAMBU,2022,21,내항,출항,"1,755",2022-05-02 08:50,2022-05-03 09:35,4부두 01,여천항,여천항,케미칼 운반선,22,Y,Y
HANYU FRONTIER,2022,11,외항,출항,"3,834",2022-05-02 09:40,2022-05-04 16:50,SK1부두 11,WEIFANG,ZHANGJIAGANG,케미칼 운반선,22,Y,Y
SAEHAN ZENITH,2022,2,외항,입항,"4,484",2022-05-02 09:45,2022-05-02 22:55,가스부두,부산,SINGAPORE,LPG 운반선,2,Y,Y
SAEHAN ZENITH,2022,2,외항,출항,"4,484",2022-05-02 09:45,2022-05-02 22:55,가스부두,부산,SINGAPORE,LPG 운반선,2,Y,Y
PARAMITA,2022,1,외항,입항,"6,270",2022-05-02 09:50,2022-05-07 01:55,8부두 01,여수,SHANGHAI PT,케미칼 운반선,22,Y,Y
PARAMITA,2022,1,외항,출항,"6,270",2022-05-02 09:50,2022-05-07 01:55,3부두 02,여수,SHANGHAI PT,케미칼 운반선,22,Y,Y
MORNING COMPOSER,2022,2,외항,출항,"57,542",2022-05-02 10:05,2022-05-02 16:50,자동차부두 02,SANDIEGO,목포,자동차운반선,20,Y,Y
MORNING COMPOSER,2022,2,외항,입항,"57,542",2022-05-02 10:05,2022-05-02 16:50,자동차부두 02,SANDIEGO,목포,자동차운반선,20,Y,Y
SUN GAS,2022,12,내항,입항,"3,185",2022-05-02 10:10,2022-05-03 11:10,3부두 02,대산,대산,LPG 운반선,2,Y,Y
BENICHITOSE,2022,2,외항,입항,"2,999",2022-05-02 10:12,2022-05-03 02:35,SK1부두 11,FUZHOU,SHIMONOSEKI,케미칼 운반선,22,Y,Y
BENICHITOSE,2022,2,외항,출항,"2,999",2022-05-02 10:12,2022-05-03 02:35,SK1부두 11,FUZHOU,SHIMONOSEKI,케미칼 운반선,22,N,Y
PS VENEZIA,2022,1,외항,입항,"60,185",2022-05-02 10:12,2022-05-03 19:48,SK부이 03,SINGAPORE,KIIRE,원유운반선,18,N,Y
천진호,2022,42,내항,출항,753,2022-05-02 10:15,2022-05-02 18:40,SK2부두 01,삼천포,부산,석유제품 운반선,11,N,N
17유성호,2022,41,내항,출항,438,2022-05-02 10:20,2022-05-03 04:15,SK2부두 02,부산,부산,석유제품 운반선,11,N,N
건양호,2022,42,내항,출항,532,2022-05-02 10:30,2022-05-03 00:10,SK2부두 02,호산항,부산,석유제품 운반선,11,N,N
3선영,2022,29,내항,출항,998,2022-05-02 10:30,2022-05-03 05:25,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
TRITON,2022,14,내항,입항,"2,041",2022-05-02 11:20,2022-05-02 17:40,SK5부두,평택.당진,제주,석유제품 운반선,11,Y,Y
TRITON,2022,14,내항,출항,"2,041",2022-05-02 11:20,2022-05-02 17:40,SK5부두,평택.당진,제주,석유제품 운반선,11,Y,Y
DUKE CHEMIST,2022,3,내항,입항,"2,993",2022-05-02 11:25,2022-05-02 21:15,6부두 03,여수,여수,석유제품 운반선,11,Y,Y
DUKE CHEMIST,2022,3,내항,출항,"2,993",2022-05-02 11:25,2022-05-02 21:15,6부두 03,여수,여수,석유제품 운반선,11,Y,Y
세창비너스,2022,21,내항,출항,"1,668",2022-05-02 11:50,2022-05-03 02:10,SK5부두,여천항,여천항,석유제품 운반선,11,Y,N
스카이케미,2022,25,내항,출항,"1,772",2022-05-02 12:05,2022-05-03 20:45,SK1부두 12,부산,포항신항,석유제품 운반선,11,Y,N
ATLANTIC ROSE,2022,2,외항,출항,"29,266",2022-05-02 14:18,2022-05-05 10:10,SK8부두,AUSTRALIA /OTHER-POR,TANJUNG LANGSAT,케미칼 운반선,22,Y,Y
GUO SHUN 13,2022,1,외항,출항,"5,549",2022-05-02 16:35,2022-05-04 16:10,염포부두 01,부산,ZHANGJIAGANG,일반화물선,19,Y,Y
MS GAS,2022,21,내항,입항,998,2022-05-02 16:45,2022-05-03 05:20,3부두 02,여수,여수,LPG 운반선,2,N,N
MS GAS,2022,21,내항,출항,998,2022-05-02 16:45,2022-05-03 05:20,3부두 02,여수,여수,LPG 운반선,2,N,N
덕진호,2022,29,내항,입항,291,2022-05-02 20:15,2022-05-02 23:26,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
덕진호,2022,29,내항,출항,291,2022-05-02 20:15,2022-05-02 23:26,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
경성,2022,39,내항,출항,"1,994",2022-05-02 22:15,2022-05-03 06:15,SK2부두 01,부산,마산,석유제품 운반선,11,Y,Y
ASIAN VISION,2022,2,외항,출항,"55,680",2022-05-02 22:30,2022-05-04 15:55,자동차부두 03,"BRUNSWICK, GA",광양,자동차운반선,20,Y,Y
ASIAN VISION,2022,2,외항,입항,"55,680",2022-05-02 22:30,2022-05-04 15:55,자동차부두 01,"BRUNSWICK, GA",광양,자동차운반선,20,N,N
GLOVIS COMPANION,2022,2,외항,입항,"60,213",2022-05-03 00:00,2022-05-06 18:20,자동차부두 03,목포,BALBOA,자동차운반선,20,N,N
GLOVIS COMPANION,2022,2,외항,출항,"60,213",2022-05-03 00:00,2022-05-06 18:20,자동차부두 03,목포,BALBOA,자동차운반선,20,N,N
12삼부호,2022,41,내항,출항,299,2022-05-03 00:45,2022-05-03 03:45,SK2부두 01,포항신항,포항신항,석유제품 운반선,11,N,N
GIANT SAMBU,2022,9,외항,입항,"5,598",2022-05-03 06:55,2022-05-04 05:45,6부두 05,ETAJIMA,기타항,케미칼 운반선,22,Y,Y
무성,2022,4,내항,입항,291,2022-05-03 07:00,2022-05-03 12:15,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
무성,2022,4,내항,출항,291,2022-05-03 07:00,2022-05-03 12:15,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
ELEKTRA,2022,1,외항,입항,"67,264",2022-05-03 07:15,2022-05-03 22:30,자동차부두 02,마산,광양,자동차운반선,20,N,N
ELEKTRA,2022,1,외항,출항,"67,264",2022-05-03 07:15,2022-05-03 22:30,자동차부두 02,마산,광양,자동차운반선,20,Y,Y
진양1호,2022,49,내항,입항,"1,995",2022-05-03 07:40,2022-05-03 18:35,SK2부두 01,동해,동해,석유제품 운반선,11,Y,Y
V GALAXY,2022,1,외항,출항,"1,993",2022-05-03 07:50,2022-05-04 23:00,2부두 01,NAKHODKA,WEIFANG,일반화물선,19,N,N
V GALAXY,2022,1,외항,입항,"1,993",2022-05-03 07:50,2022-05-04 23:00,2부두 01,OCEAN DISTRICT,WEIFANG,일반화물선,19,N,N
WOORI HANA,2022,11,외항,출항,"1,066",2022-05-03 08:05,2022-05-04 20:35,6부두 04,여수,여수,석유제품 운반선,11,N,N
BONETTE,2022,1,외항,출항,"17,019",2022-05-03 08:12,2022-05-28 19:55,8부두 02,SINGAPORE,QINGDAO,일반화물선,19,N,N
BONETTE,2022,1,외항,입항,"17,019",2022-05-03 08:12,2022-05-28 19:55,8부두 02,SINGAPORE,QINGDAO,일반화물선,19,N,N
EASY PROSPERITY,2022,2,외항,출항,"6,550",2022-05-03 08:20,2022-05-06 18:00,2부두 02,TIANJIN PT,"GRESIK, JAVA",일반화물선,19,N,N
EASY PROSPERITY,2022,2,외항,입항,"6,550",2022-05-03 08:20,2022-05-06 18:00,2부두 02,SINGAPORE,"GRESIK, JAVA",일반화물선,19,N,N
GLOBAL PIONEER,2022,4,외항,입항,"11,987",2022-05-03 08:25,2022-05-12 11:25,7부두 01,HO CHI MINH CITY,울산,석유제품 운반선,11,N,N
디엘 루비,2022,18,내항,출항,"6,716",2022-05-03 08:35,2022-05-04 04:35,SK5부두,인천,부산,석유제품 운반선,11,N,N
디엘 루비,2022,18,내항,입항,"6,716",2022-05-03 08:35,2022-05-04 04:35,SK5부두,인천,부산,석유제품 운반선,11,N,N
PACIFIC SAMBU,2022,12,외항,입항,"2,403",2022-05-03 09:10,2022-05-04 12:35,9부두 01,CAOJING,기타항,석유제품 운반선,11,N,N
삼원썬,2022,34,내항,출항,999,2022-05-03 09:15,2022-05-04 12:30,SK1부두 12,여천항,부산,석유제품 운반선,11,N,N
NC해양,2022,5,내항,입항,700,2022-05-03 09:20,2022-05-17 15:15,남화부두,기타항,기타항,폐기물 운반선,24,N,N
NC해양,2022,5,내항,출항,700,2022-05-03 09:20,2022-05-17 15:15,남화부두,기타항,기타항,폐기물 운반선,24,N,N
SEATRIUMPH,2022,1,외항,입항,"154,182",2022-05-03 09:54,2022-05-05 09:42,SK부이 02,SINGAPORE,MINA AL AHMADI,원유운반선,18,N,N
SEATRIUMPH,2022,1,외항,출항,"154,182",2022-05-03 09:54,2022-05-05 09:42,SK부이 02,SINGAPORE,MINA AL AHMADI,원유운반선,18,N,Y
AWASAN PIONEER,2022,2,외항,입항,"8,271",2022-05-03 10:05,2022-05-04 04:50,3부두 02,SINGAPORE,SINGAPORE,석유제품 운반선,11,N,N
AWASAN PIONEER,2022,2,외항,출항,"8,271",2022-05-03 10:05,2022-05-04 04:50,3부두 02,TOKUYAMA,SINGAPORE,석유제품 운반선,11,N,N
STOLT VOYAGER,2022,11,외항,출항,"2,761",2022-05-03 11:00,2022-05-07 14:25,6부두 04,SHANGHAI,NINGBO,석유제품 운반선,11,Y,N
KELSEY 2,2022,4,외항,입항,"5,328",2022-05-03 11:55,2022-05-05 12:10,4부두 02,HUIZHOU PT,기타항,케미칼 운반선,22,Y,N
유진호,2022,18,내항,출항,268,2022-05-03 12:00,2022-05-03 16:30,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
DOLPHIN WIND,2022,16,내항,입항,293,2022-05-03 12:20,2022-05-05 11:00,일반부두 03,기타항,울산,기타 예선,6,N,N
DOLPHIN WIND,2022,16,내항,출항,293,2022-05-03 12:20,2022-05-05 11:00,일반부두 03,기타항,울산,기타 예선,6,N,N
3성원호,2022,33,내항,출항,432,2022-05-03 14:25,2022-05-04 00:00,SK2부두 02,여수,부산,석유제품 운반선,11,N,N
KOBE PIONEER,2022,1,외항,출항,"2,696",2022-05-03 15:15,2022-05-05 09:25,8부두 01,ZHANJIANG PT,평택.당진,케미칼 운반선,22,N,N
DM DRAGON,2022,6,외항,출항,"7,411",2022-05-03 15:25,2022-05-08 08:30,SK3부두,BANGKOK,BANGKOK,석유제품 운반선,11,N,N
태진,2022,26,내항,출항,743,2022-05-03 16:55,2022-05-04 02:18,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
송양1호,2022,64,내항,입항,"1,200",2022-05-03 17:35,2022-05-04 02:55,SK2부두 01,부산,마산,석유제품 운반선,11,Y,Y
송양1호,2022,64,내항,출항,"1,200",2022-05-03 17:35,2022-05-04 02:55,SK2부두 01,부산,마산,석유제품 운반선,11,Y,Y
OCEAN PIONEER,2022,2,외항,입항,"11,662",2022-05-03 20:20,2022-05-07 22:00,6부두 05,군산,울산,케미칼 운반선,22,Y,Y
WOOJIN CHEMS,2022,5,외항,출항,"7,098",2022-05-03 20:25,2022-05-07 01:20,UTT부두,SINGAPORE,부산,케미칼 운반선,22,N,N
송백,2022,32,내항,출항,499,2022-05-03 21:50,2022-05-05 14:30,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
DIANA MARINE,2022,1,외항,입항,"1,596",2022-05-03 23:00,2022-05-05 06:05,일반부두 08,CHIBA,TOKUYAMA,석유제품 운반선,11,Y,Y
17유성호,2022,42,내항,출항,438,2022-05-03 23:20,2022-05-04 04:40,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
천진호,2022,43,내항,출항,753,2022-05-04 00:55,2022-05-04 09:00,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
SUN VENUS,2022,17,외항,입항,"4,543",2022-05-04 02:25,2022-05-04 13:40,가스부두,MIZUSHIMA,MIZUSHIMA,석유제품 운반선,11,N,N
SUN VENUS,2022,17,외항,출항,"4,543",2022-05-04 02:25,2022-05-04 13:40,가스부두,MIZUSHIMA,MIZUSHIMA,석유제품 운반선,11,Y,N
BW EAGLE,2022,1,외항,입항,"29,576",2022-05-04 02:25,2022-05-06 10:30,SK3부두,BALBOA,BALBOA,케미칼 운반선,22,Y,N
건양호,2022,43,내항,출항,532,2022-05-04 03:20,2022-05-04 11:45,SK2부두 02,부산,호산항,석유제품 운반선,11,N,N
경성,2022,40,내항,출항,"1,994",2022-05-04 03:35,2022-05-04 15:50,SK2부두 01,부산,마산,석유제품 운반선,11,N,N
보광티아라,2022,38,내항,출항,823,2022-05-04 04:50,2022-05-04 23:00,SK1부두 11,여수,여수,석유제품 운반선,11,N,N
DRAGON SKY,2022,2,내항,입항,"4,738",2022-05-04 05:30,2022-05-05 05:40,2부두 03,동해,동해,산물선(벌크선),10,N,N
DRAGON SKY,2022,2,내항,출항,"4,738",2022-05-04 05:30,2022-05-05 05:40,2부두 03,동해,동해,산물선(벌크선),10,Y,Y
KEOYOUNG SUN,2022,12,외항,입항,597,2022-05-04 05:30,2022-05-05 12:30,일반부두 06,MIZUSHIMA,YOKKAICHI,케미칼 운반선,22,Y,N
1거성,2022,5,내항,출항,287,2022-05-04 05:40,2022-05-04 07:00,2부두 03,동해,부산,석유제품 운반선,11,Y,Y
1거성,2022,5,내항,입항,287,2022-05-04 05:40,2022-05-04 07:00,2부두 03,동해,부산,석유제품 운반선,11,Y,Y
SC SCORPIO,2022,1,외항,입항,"26,364",2022-05-04 05:45,2022-05-07 12:25,6부두 04,GRAYSHARBORCITY,NINGBO,석유제품 운반선,11,N,N
SC SCORPIO,2022,1,외항,출항,"26,364",2022-05-04 05:45,2022-05-07 12:25,SK3부두,GRAYSHARBORCITY,NINGBO,석유제품 운반선,11,N,N
UNDINE,2022,1,외항,입항,"67,378",2022-05-04 07:15,2022-05-05 19:30,자동차부두 02,평택.당진,NOUMEA,자동차운반선,20,Y,N
UNDINE,2022,1,외항,출항,"67,378",2022-05-04 07:15,2022-05-05 19:30,6부두 02,평택.당진,NOUMEA,자동차운반선,20,Y,N
FAIRCHEM EDGE,2022,1,외항,입항,"11,917",2022-05-04 07:30,2022-05-05 23:24,3부두 02,NAOSHIMA,NANSHA PT,석유제품 운반선,11,Y,N
한동20호,2022,40,내항,출항,"1,502",2022-05-04 07:35,2022-05-05 10:45,SK2부두 01,제주,제주,석유제품 운반선,11,Y,N
HANYU DREAM,2022,20,내항,입항,"2,114",2022-05-04 08:50,2022-05-05 01:35,SK2부두 01,부산,동해,석유제품 운반선,11,N,N
HANYU DREAM,2022,20,내항,출항,"2,114",2022-05-04 08:50,2022-05-05 01:35,SK2부두 01,부산,동해,석유제품 운반선,11,N,N
BOW EXPLORER,2022,1,외항,입항,"29,627",2022-05-04 09:06,2022-05-08 19:30,5부두 01,AN PING,WAKAYAMA,케미칼 운반선,22,Y,Y
현중호,2022,32,내항,출항,149,2022-05-04 09:30,2022-05-07 15:50,6부두 04,기타항,부산,석유제품 운반선,11,Y,Y
GOLDEN GRACE HANA,2022,3,외항,입항,"2,997",2022-05-04 09:35,2022-05-05 13:05,6부두 03,KOBE,ZHANGJIAGANG,케미칼 운반선,22,Y,Y
G. SPIRIT,2022,1,외항,입항,"47,558",2022-05-04 14:10,2022-05-07 14:54,SK6부두,BALBOA,BALBOA,LPG 운반선,2,Y,Y
MS GAS,2022,22,내항,출항,998,2022-05-04 15:30,2022-05-05 08:10,3부두 02,여수,여수,LPG 운반선,2,Y,Y
103동성호,2022,37,내항,출항,498,2022-05-04 15:50,2022-05-05 00:05,SK2부두 02,부산,부산,석유제품 운반선,11,Y,Y
BUSAN GAS,2022,6,내항,출항,992,2022-05-04 15:50,2022-05-07 01:00,4부두 01,부산,MIZUSHIMA,LPG 운반선,2,N,N
BUSAN GAS,2022,6,외항,입항,992,2022-05-04 15:50,2022-05-07 01:00,9부두 01,부산,MIZUSHIMA,LPG 운반선,2,N,N
금창호,2022,44,내항,출항,999,2022-05-04 16:05,2022-05-05 02:50,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
송양1호,2022,65,내항,출항,"1,200",2022-05-04 17:30,2022-05-05 08:55,SK2부두 01,마산,부산,석유제품 운반선,11,N,N
STOLT DISTRIBUTOR,2022,9,외항,출항,"2,700",2022-05-04 17:30,2022-05-09 07:50,일반부두 08,울산,CAOJING,석유제품 운반선,11,Y,Y
덕진호,2022,30,내항,출항,291,2022-05-04 18:00,2022-05-05 05:45,SK2부두 01,여수,부산,석유제품 운반선,11,Y,Y
YOUNGSAN GAS,2022,17,외항,출항,999,2022-05-04 18:20,2022-05-05 20:00,SK5부두,OITA,OITA,케미칼가스 운반선,23,Y,Y
BIZEN,2022,2,외항,출항,"5,691",2022-05-04 19:15,2022-05-12 18:30,2부두 01,여수,"BITUNG, SULAWESI",일반화물선,19,Y,Y
세창비너스,2022,22,내항,출항,"1,668",2022-05-04 19:20,2022-05-06 06:00,SK5부두,여천항,여천항,석유제품 운반선,11,N,N
12삼부호,2022,42,내항,출항,299,2022-05-04 19:50,2022-05-05 10:20,SK2부두 01,포항신항,포항신항,석유제품 운반선,11,N,N
GRAND PIONEER,2022,1,외항,출항,"58,947",2022-05-04 21:35,2022-05-05 16:00,자동차부두 01,TACOMA,평택.당진,자동차운반선,20,Y,N
GRAND PIONEER,2022,1,외항,입항,"58,947",2022-05-04 21:35,2022-05-05 16:00,자동차부두 01,TACOMA,평택.당진,자동차운반선,20,Y,N
GREEN GAS,2022,7,외항,출항,"2,997",2022-05-05 02:10,2022-05-06 08:00,4부두 01,CHIBA,MAI-LIAO,LPG 운반선,2,N,N
삼진2호,2022,40,내항,출항,801,2022-05-05 05:40,2022-05-06 00:30,SK2부두 01,부산,부산,기타 유조선,7,N,N
부광5호,2022,43,내항,출항,"1,162",2022-05-05 06:30,2022-05-05 13:50,SK5부두,광양,부산,석유제품 운반선,11,Y,Y
WINNING ROAD,2022,7,외항,출항,"4,261",2022-05-05 06:35,2022-05-05 16:50,가스부두,KAOHSIUNG,CAOJING,LPG 운반선,2,Y,Y
WINNING ROAD,2022,7,외항,입항,"4,261",2022-05-05 06:35,2022-05-05 16:50,가스부두,KAOHSIUNG,CAOJING,LPG 운반선,2,,
KEOYOUNG MASTER,2022,11,외항,출항,"2,517",2022-05-05 08:15,2022-05-05 21:10,가스부두,부산,평택.당진,케미칼 운반선,22,Y,Y
KEOYOUNG MASTER,2022,11,외항,입항,"2,517",2022-05-05 08:15,2022-05-05 21:10,가스부두,부산,평택.당진,케미칼 운반선,22,N,N
UNION GAS,2022,27,내항,출항,999,2022-05-05 09:25,2022-05-06 16:40,가스부두,부산,제주,LPG 운반선,2,N,N
JOY CHEMIST,2022,8,외항,입항,"5,376",2022-05-05 09:35,2022-05-07 12:00,SK5부두,TIANJIN,NANTONG PT,케미칼 운반선,22,Y,Y
진양1호,2022,50,내항,출항,"1,995",2022-05-05 09:40,2022-05-05 21:30,SK2부두 01,동해,동해,석유제품 운반선,11,Y,Y
진양1호,2022,50,내항,입항,"1,995",2022-05-05 09:40,2022-05-05 21:30,SK2부두 01,동해,동해,석유제품 운반선,11,Y,Y
CRANE ARIEL,2022,16,외항,출항,"4,862",2022-05-05 10:50,2022-05-06 09:05,SK4부두,MIZUSHIMA,IWAKUNI,케미칼 운반선,22,Y,Y
PACIFIC RAWAN,2022,1,외항,출항,"62,397",2022-05-05 14:06,2022-05-11 16:10,SK7부두,SINGAPORE,ZHOUSHAN PT,원유운반선,18,N,N
